時間,ツイート本文,いいね,リツイート,ID
2022-10-13 08:19:03+00:00,"スプレッドシート、データポータルを使ってデータの集約・可視化・分析を行うか、Airtableを使ってみるか。
コスト的には前者がいいのだが、新しいもの好きな自分としてはAirtableを使ってみたい気持ちがある。",10,0,1580473176370614272
2022-10-12 23:05:10+00:00,"SNSの発達によって、能動的に好きな情報・興味ある情報のみをインプットできるようになりましたが、インプットする情報が偏りすぎていませんか？少し視野を広げて、情報収集することで新たな気付き・発見が得られるようになります。
https://t.co/spTh0Q9sN8",5,1,1580333786981896193
2022-10-12 09:00:00+00:00,"■ デジタル・フォレンジック
コンピュータをはじめとするデジタルデバイスに記録された情報を収集・調査・分析を行うこと、またそれによって法的な証拠性を明らかにする手段・技術のことです。法医学という意味のForensicsをデジタルデバイス情報関連の一分野に適用したものです。 https://t.co/bZPZeUfdJc",7,0,1580121093204910080
2022-10-12 08:49:11+00:00,教育って「教え育む」って書くからどうしても「教える」のが教育だ！ってなりがちなんですけど、本当の教育って教えないこと、教えすぎないことだと思うんですよね。Teachしすぎて良かった試しがあんまりないです。,15,1,1580118369126477826
2022-10-12 08:42:42+00:00,一定数は離脱してしまった方がいるのも事実ですが、非アクティブ＝満足していない、というわけではなく、ただ単に自分のペースで進めているだけの方もいると思うので、不安になりすぎないことが大事だなって思いました。,6,0,1580116740302065665
2022-10-12 08:41:31+00:00,スクールあるあるだと思うんですけど、チャット上にほとんど現れない幽霊メンバー。こういった方々がしっかり進められているのか、満足しているのかって中々追うのが難しいのですが、数名の方から「code4biz受講してよかったです！」とコメントいただけたのでホッとしました。,11,1,1580116440719712257
2022-10-11 09:04:37+00:00,僕自身、TXという言葉を知らなかったんですけど、みなさん知ってました？😂,3,0,1579759865324777472
2022-10-11 09:00:01+00:00,"■ TX
TXとは「UX・CX・EX・MX」の4つを連携させながら総合的に取り組むことで、顧客・従業員など企業にかかわる全員に良質な体験を生み出し、満足度を高めるビジネス戦略のことです。2020年にGartner社が発表したテクノロジートレンドの一つで、今後ますます注目を浴びるであろうキーワードです。 https://t.co/DrpxbdHaif",12,1,1579758708602683393
2022-10-10 22:07:22+00:00,"先行予約に間に合わなかった方向けにも、なにか特典を配布できないか現在検討中です☺️
決まり次第お伝えしますので、楽しみにお待ち下さい🔥",5,0,1579594466666876928
2022-10-10 22:05:53+00:00,"プログラミングを学習していくために必要な3つのステップについてお話しました。私自身、過去に挫折した経験があるからこそ、最初にしっかりしたステップを踏んでいくことが重要だなと感じています。プログラミングを学び始めた、伸び悩んでいる人は必見です。
https://t.co/Vhfo2cpaHX",4,0,1579594092518203392
2022-10-10 21:35:16+00:00,濃くなるはずです！！😆 https://t.co/jYN8WlIdD0,2,0,1579586384993857536
2022-10-10 21:34:48+00:00,Pythonコースは9講座から成り立っていますが、GASコースは20講座もあります。これだけで業務効率化ガッツリしていけるレベルです。,10,0,1579586269168177152
2022-10-10 21:30:00+00:00,いまcode4biz GASコースをある方と協力して作っているんですけど、めちゃくちゃ実践的かつ面白そうなコースに仕上がりそうです。大きな組織でガッツリ業務改善に関わってきた方なので、GASの知識、経験がとても豊富です。その方の経験と、僕の教材設計・作成力をかけ合わせれば...,23,3,1579585061837365251
2022-10-10 09:04:10+00:00,みなさんが知ってるFintechサービスをコメントで是非教えてください！,0,0,1579397368038162433
2022-10-10 09:00:00+00:00,"■ フィンテック（IT用語100選から抜粋）
フィンテック(FinTech)とは、金融を意味するFinanceと技術を意味するTechnologyを掛け合わせた造語で、従来の金融サービスとAIやブロックチェーンに代表される最新技術を組み合わせた新しい金融サービス、またはその取り組みのことです。 https://t.co/QrFW6fhuJN",10,1,1579396317448642560
2022-10-10 02:15:34+00:00,各工程でいろんな工夫が施されているのはもちろんなんですけど、それ以前に価値ある特典をここまで準備するのがすごいです。よくある特典って、案外中身薄っぺらいこと多いんですよね。そして、YouTube、Twitter含めて全てのコメントに返信してる狂気さも尊敬。 https://t.co/5ArMkXMXfC,4,2,1579294536387682304
